"COD_PARAFARMACIA_OD","COD_PARAFARMACIA","PARAFARMACIA","IVA","CAP","COD_COMUNE","COMUNE","INDIRIZZO","FRAZIONE","COD_PROVINCIA","PROVINCIA","COD_REGIONE","REGIONE","DATA_INIZIO","LATITUDINE_P","LONGITUDINE_P","LATITUDINE_V","LONGITUDINE_V"
"PFA042101002507","002507","COOP SUPERSTORE CENTRO COMM.DIR.TRENTO SUD","01542000227","38100","022205","TRENTO","VIA DE GASPERI 1-11-12-13-17","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2007-01-01","46.14863","11.0950399","46,14863","11,0950399"
"PFA042101002508","002508","COOP SUPERSTORE MILLENIUM","01542000227","38068","022161","ROVERETO","VIA DEL GARDA 95","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2007-01-01","45.8725985975744","11.021257749762","45,8725985975744","11,021257749762"
"PFA042101003394","003394","ERBORISTERIA ANCUSA","01457730222","38057","022139","PERGINE VALSUGANA","VIA REGENSBURGER 43","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2007-06-01","46.0702663118121","11.2376773447364","46,0702663118121","11,2376773447364"
"PFA042101003686","003686","ARS MEDICA DI LAURA BALDUCCI & LORENZA VENTURA SNC","01534610223","38086","022143","PINZOLO","VIA MARCONI 20","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2007-08-01","46.1590562564702","10.7632459687159","46,1590562564702","10,7632459687159"
"PFA042101003915","003915","PARAFARMACIA DOTT.SSA SITTONI ANGELA","02037520224","38057","022139","PERGINE VALSUGANA","VIA 3 NOVEMBRE NR. 1","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2007-09-01","46.060829","11.241801","46,060829","11,241801"
"PFA042101004180","004180","DARMA IL FARMASTORE","01997290224","38057","022139","PERGINE VALSUGANA","VIA TAMARISI 2","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2007-11-01","46.0616404","11.2398474","46,0616404","11,2398474"
"PFA042101004198","004198","FARMA SRL","02373650221","38066","022153","RIVA DEL GARDA","VIALE DANTE 30","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2015-06-01","45.88637199999999","10.842593","45,88637199999999","10,842593"
"PFA042101004590","004590","PARAFARMACIA ESSERE BENESSERE","01469460297","38032","022039","CANAZEI","STREDA DOLOMITES 103","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2013-06-01","46.47726","11.74418","46,47726","11,74418"
"PFA042101006268","006268","FARMA  SRL","02279210229","38068","022161","ROVERETO","VIA ROSMINI 50","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2013-03-01","45.8915375","11.0384953","45,8915375","11,0384953"
"PFA042101006752","006752","DARMA IL FARMASTORE","01997290224","38123","022205","TRENTO","VIALE VERONA 67/69","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2010-09-01","46.0427575586414","11.1314631169961","46,0427575586414","11,1314631169961"
"PFA042101007773","007773","PARAFARMACIA","02227470222","38086","022143","PINZOLO","VIA CIMA TOSA, 49/B MADONNA DI CAMPIGLIO","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2011-11-01","46.2330224772044","10.8249051653774","46,2330224772044","10,8249051653774"
"PFA042101007978","007978","A FIOR DI PELLE","02190770228","38030","022226","ZIANO DI FIEMME","VIA DELL' ISCHIA 8","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2012-01-01","46.2696363876654","11.5827165518511","46,2696363876654","11,5827165518511"
"PFA042101008788","008788","PHARMAVITAE SRL","07974200961","38064","022087","FOLGARIA","VIA ROMA 27","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2012-10-01","45.9156012850045","11.1722331817432","45,9156012850045","11,1722331817432"
"PFA042101009866","009866","CORNER PARAFARMACIA C/O SUPERMERCATI POLI MARAMEO","02251300220","38122","022205","TRENTO","CORSO 3 NOVEMBRE 57","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2013-11-01","46.060919","11.125327","46,060919","11,125327"
"PFA042101010198","010198","ANIMAL STORE MOLINO PONTALTI SRL","02217160221","38045","022061","CIVEZZANO","LOCALITÃ€ MOCHENA, 5","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2014-04-01","46.088711","11.182382","46,088711","11,182382"
"PFA042101010308","010308","GRANDI MAGAZZINI REGINA","00823460225","38062","022006","ARCO","VIA S. CATERINA, 78","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2014-05-01","45.910875","10.872680","45,910875","10,872680"
"PFA042101010690","010690","PARAFARMACIA FESTA DEL DOTT. CANDEAGO ALESSANDRO S.A.S","02353200229","38035","022118","MOENA","PIAZZALE PIAZ DE RAMON, 54","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2014-11-01","46.376587","11.661125","46,376587","11,661125"
"PFA042101011443","011443","CORNER PARAFARMACIA C/O GRANDI MAGAZZINI REGINA","02804370241","38062","022006","ARCO","VIA SANTA CATERINA, 78","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2018-04-01","45.9140202","10.8770976","45,9140202","10,8770976"
"PFA042101011453","011453","PARAFARMACIA RIVA DEL GARDA","01447650332","38066","022153","RIVA DEL GARDA","VIA PADOVA, 5","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2015-11-01","45.8828899","10.8546121","45,8828899","10,8546121"
"PFA042101011463","011463","PARAFARMACIA DR. ROBERTO GIUS","02397190220","38122","022205","TRENTO","VIA GIUSEPPE CANESTRINI, 25","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2015-11-01","46.06804","11.11685","46,06804","11,11685"
"PFA042101011470","011470","CONAD","02347740223","38068","022161","ROVERETO","CORSO ROSMINI, 31","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2017-12-01","45.8909429","11.0390078","45,8909429","11,0390078"
"PFA042101011481","011481","PARAFARMACIA LAGORAI DI VALERIA MANGIAFICO","02082670221","38033","022050","CAVALESE","PIAZZA SCOPOLI, 5","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2015-11-01","46.0747793","11.1217486","46,0747793","11,1217486"
"PFA042101011575","011575","PARAFARMACIA LA PERLA DI RIGONI LUCA","02353460229","38035","022118","MOENA","PIAZZA SOTEGRAVA, 15","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2016-01-01","46.0747793","11.1217486","46,0747793","11,1217486"
"PFA042101011625","011625","PARAFARMACIA IL FARMACISTA DEL CENTRO","02409660228","38051","022022","BORGO VALSUGANA","CORSO VICENZA, 47","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2016-02-01","46.05285","11.49125","46,05285","11,49125"
"PFA042101011706","011706","PARAFARMACIA CAMPAGNOLA","02412470227","38017","022117","MEZZOLOMBARDO","VIA TRENTO, 65/A","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2016-05-01","46.1520044","11.0987156","46,1520044","11,0987156"
"PFA042101012096","012096","COLORVISION OUTLET SRL","02430000220","38121","022205","TRENTO","VIA DEI SOLTERI, 4/3","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2016-09-01","46.085055","11.122887","46,085055","11,122887"
"PFA042101012158","012158","FARMASI'","02466720220","38122","022205","TRENTO","VIA SS. TRINITA', 12","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2017-10-01","46.0747793","11.1217486","46,0747793","11,1217486"
"PFA042101012403","012403","PARAFARMACIA SAN MARTINO","01232670222","38054","022174","SIROR","VIA PASSO ROLLE, 108","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2017-01-01","46.26158","11.79999","46,26158","11,79999"
"PFA042101012650","012650","PARAFARMACIA GALILEI","02257880225","38122","022205","TRENTO","VIA G. GALILEI, 31","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2017-05-01","46.1363523","11.092278599999986","46,1363523","11,092278599999986"
"PFA042101012836","012836","FARMAFREE MEZZOLOMBARDO","05588930486","38017","022117","MEZZOLOMBARDO","VIA GUIDO FIORINI, 10","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2017-09-01","46.208961433417734","11.101486086845398","46,208961433417734","11,101486086845398"
"PFA042101013008","013008","PARAFARMACIA VETERINARIATRIDENTINA","00413440223","38121","022205","TRENTO","VIA GUETTI, 38","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2017-11-01","46.0887749","11.108602399999995","46,0887749","11,108602399999995"
"PFA042101013134","013134","PARAFARMACIA BENESSERE","02804370241","38057","022139","PERGINE VALSUGANA","VIA TAMARISI, 2","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2018-02-01","46.0674676","11.223397900000009","46,0674676","11,223397900000009"
"PFA042101013225","013225","PARAFARMACIA LA PERLA DI RIGONI LUCA","02353460229","38033","022050","CAVALESE","VIA FRATELLI BRONZETTI, 11","-","TN","TRENTO","042","PROV. AUTON. TRENTO","2018-03-01","46.291186956566094","11.461171289291883","46,291186956566094","11,461171289291883"
